TRACK_ID,REL_PATH,reported_duration_sec,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_contrast_mean,spectral_flatness_mean,spectral_rolloff_mean,hnr_mean_db,inharmonicity_mean,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_01_std,mfcc_02_std,mfcc_03_std,mfcc_04_std,mfcc_05_std,mfcc_06_std,mfcc_07_std,mfcc_08_std,mfcc_09_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,measured_duration_sec,analyzed_duration_sec,analysis_windows,hnr_valid_frames,inharmonicity_valid_frames,extraction_status
track_1147710,10/1147710.mp3,243.9,2002.6019105371736,1120.3134630373552,2541.026569636296,755.7654673653533,20.385978566702423,6.514152111516947e-05,4662.068684108486,-0.5125733001193239,0.0191310741978874,-95.00069932935304,107.13085829415256,34.55575753968155,25.36720943686497,9.126659528786444,15.1392020531548,7.399416010844847,7.636160510010447,0.8010713370879478,3.1431694585050027,-1.8513054295104925,5.288057619698948,-0.5197793911894186,78.39203170750221,39.11769248238613,24.50855320369167,15.995987672489978,10.171429237723908,10.883443407533214,8.47611719523314,8.784717032876008,8.059299270169195,7.56600550345631,7.060546452514646,5.910742200663213,6.299484447812725,243.84,240.0,1,70,70,ok
track_1103990,90/1103990.mp3,323.0,2164.108404299242,995.1750862305288,2147.576273314328,673.3408327239023,24.02584734723164,0.0001428321641196,4415.4816335199785,2.2567253217737635,0.0134220896478798,-90.62061970520746,99.13489160928356,-11.154364923974311,35.2408591683856,1.2505977130314805,-1.5655335464450637,-0.923799012618964,2.7349181647074405,-4.901374395626046,0.6853130169932935,-4.609132614235059,1.9314305487032275,-8.675897052881544,128.71646408246357,41.875875413099294,23.43668940905992,19.9550233121057,11.66469766366146,11.405927287395397,9.028486490236368,8.380791824238813,8.008331006344745,11.371330087492836,7.243977418105929,7.730332634401429,7.181793352966087,323.0,240.0,1,76,76,ok
track_1131488,88/1131488.mp3,447.6,2185.6255048357493,605.1277262658587,2541.8226240656,405.03438921930274,24.07363143703165,0.0001273992260215,4882.039228976695,2.1606196653161267,0.0156049171437984,-172.19387046600642,91.23702995831884,1.3308617679471433,24.085742211113494,8.307783647462,7.736199917962296,1.4012321360451068,-3.55114866666108,-13.479140768887982,-5.5155207378137066,-6.383518427172128,-4.937008164976954,-3.4171152040818287,55.83062854779203,23.18670952327059,16.095020690837348,11.358549283277268,8.10964456011994,7.65003577204644,8.065389527519846,7.813572907223981,7.94101366508494,7.814161767895954,7.143405704791302,6.76560863821141,6.747615569120441,447.5878458049887,240.0,1,78,78,ok
track_1198188,88/1198188.mp3,48.0,2187.670723880265,637.1585196732236,2562.9264304033804,450.23470588647206,26.063329536540014,0.0347584731991367,5005.043203918339,3.08201703251563,0.0130241853538549,-97.73875626829422,62.66376601060136,3.74966186438498,32.47358072973514,6.916879120277424,8.050561418493839,0.2519327002213601,3.2948102372440884,-0.6363400288972809,5.990011230716392,-0.841916329920926,5.4389533025196375,-0.7448405878153599,114.90317790123088,28.12834189778342,14.903352685514111,12.53489335338081,8.501148327155049,8.083754694704218,8.361743791192213,8.48779576239848,8.32697410015725,7.956377635526318,6.280716106890537,6.075327606998834,7.011951630251128,48.0,48.0,1,77,77,ok
track_0245962,62/245962.mp3,165.6,3308.02775056442,795.317473363919,2879.073764966074,359.9117027904062,21.34366461253584,0.0002344395293488,6769.797455732819,-2.746193993104628,0.0125213772987114,45.1548020713013,54.23319498018412,6.680469197312012,32.448860925858185,14.074163639466024,12.610376538052048,-8.009745188591921,12.429208008047366,1.299968500681441,5.066839682551684,2.126465116818481,2.3821034325827517,-5.0913160367470445,62.52074799786008,26.760356258630235,14.981249954769265,12.79259700922681,12.19930685380813,8.705070056206718,8.974828235276837,7.720143943688098,7.428944276447084,6.807265593409206,6.648344309500753,6.218391723331586,5.9026610085287725,165.5350566893424,165.5350566893424,1,73,73,ok
track_0719849,49/719849.mp3,165.1,1715.3589808996994,769.1792089826688,2194.284939774564,601.1491130906929,22.540062658455877,0.0100964888003206,3766.1654014287033,-0.2241874742224415,0.0181195344614773,-126.98419586506634,111.67356640642863,16.346713883865544,32.76925770878185,11.244598466337198,3.2594554421188247,-6.5903991376638045,3.927443828224885,-5.59606311931227,3.268268088756914,-1.7029442445212517,-1.123140123484607,-3.83556678214585,94.0444652658283,38.15463018339802,29.909462279046508,17.39733773832724,12.553763030953723,12.621087320465556,10.884878282810368,11.096847569614663,10.93244086765277,9.664376760705183,9.66171242322956,8.897588836946797,9.390702110232011,165.11707482993197,165.11709750566894,1,77,77,ok
track_0736523,23/736523.mp3,214.2,2141.2756492665376,958.1951208584536,2316.046736471297,467.36609227440215,25.00724177462325,0.0002118735590432,4299.765270781657,1.3101855245866454,0.0133294955505968,-72.3086220106242,93.21376454062327,1.1246052155627866,20.925726660087985,-2.1449231220414524,10.284241928779377,-4.888522853384473,-1.9644369174399303,-11.454284800916612,-1.94133159011276,-8.841197006429445,0.3425182128594544,-4.626330906534141,107.43172940587058,34.79284007010606,24.739661309567108,17.776443523052016,11.155977135188884,10.716825317484195,8.521000226010045,9.440211873801902,16.08713167075785,13.96249005929898,17.16876040442291,12.1260908788092,14.633250106874227,214.13267573696143,214.1326984126984,1,80,80,ok
track_1129658,58/1129658.mp3,224.9,1121.589663886814,529.1194991557205,1629.5184853845303,568.719037617219,26.35837520229685,3.5728646049728506e-07,2218.867071542656,5.379974665459817,0.0161537047373572,-187.353431535408,140.01365862281654,8.96354305368488,26.45652315515292,20.07611355878524,16.75309497272816,0.1813875246944966,0.081640664773484,-4.719040250697231,-3.7344112458372,-6.3172546002358025,3.1634727472169195,-5.891868621036295,92.97391865390637,30.94586688422505,21.819534879397963,14.582017986288417,15.303919690321102,11.230873773714944,9.677240770865344,8.498009926151266,8.627645531214824,8.05314479629555,7.831928969449959,8.05672536645717,7.653378942279188,224.87498866213156,224.87501133786847,1,77,77,ok
track_1379947,47/1379947.mp3,319.9,1408.4757774795207,749.1062039015346,2022.0197818702247,738.1979381147206,23.677309141191152,0.0001000999838103,3087.782370269114,1.0813496776602027,0.0273973946445883,-173.65192149797412,124.36746484650178,25.22611417550957,35.86757518451779,19.193502110011742,6.766813233328245,1.278762336113222,2.504785506211361,-1.024382993159383,0.1632194263738401,-1.8091636059291072,2.9040394203745308,-2.780169667526157,84.6615454221074,33.804407423824046,35.39496435802681,21.442686014783085,13.906532096615036,13.699216132841116,9.865564015142676,11.207831244190192,9.563761265198792,8.766067498106347,9.01577451081037,8.064270030356823,9.33979252413326,319.8432653061225,240.0,1,75,75,ok
track_0846411,11/846411.mp3,222.0,1893.92885495234,515.1164683501053,2140.51934721096,439.9275591018651,26.18717378123069,0.0053654244808957,3903.645534479461,2.241631067563498,0.0094184423343086,-151.77452391165275,97.56603688553294,-11.430392158565976,35.668553723555334,11.64504627217224,10.761324635166837,-6.933042506229574,3.8524577489142624,-4.980628323470572,3.764827896314992,-4.426250239878037,4.411689441324295,-1.0932294161618847,83.07514690859558,26.84492786162875,20.201435971757505,12.98325480589771,12.367412260892747,10.59091838525202,10.298424377015555,8.850463567855074,8.952790512363915,7.895051878870658,7.1900075800172605,8.509580723759221,6.984795758653918,221.9281859410431,221.92820861678004,1,77,77,ok
track_0131632,32/131632.mp3,237.8,1699.2693732535918,749.7053151228332,2440.600329135985,578.7550387413828,26.448513030526463,1.3787059268074883e-06,3977.89183986244,6.003009342053218,0.0125651486118674,-253.1835294722952,82.97041316518425,23.655397640987715,35.69167866822292,12.03517624388512,-7.7330456636846066,-3.3606125880927635,-10.70921868911147,-4.461869860104885,-8.176953420433854,-8.584603996312097,0.5827365156156531,-1.841734788377835,77.74789366233867,30.528534024942395,27.495250859266463,11.485935211169188,13.130019190123605,12.878555184130946,12.048698032808383,14.415377536646789,13.567134270952382,11.902547903668864,12.074970257160158,12.947977315180772,14.404972027627236,237.77233560090704,237.77233560090704,1,79,79,ok
track_0802326,26/802326.mp3,240.2,1967.599384842208,1105.4635234828384,2170.893800506563,687.8309177591328,22.76216260453372,1.8406648021317257e-05,4002.5810052735887,-0.0717920360660929,0.0140760153538933,-141.57141778835214,110.70163134948838,2.0382527231264733,32.03483214550154,7.042959333630639,5.608353529305662,-4.639569112912452,-0.9870878833471496,-10.421247797518618,-5.661748194236282,-6.292096820303842,-1.0972451253526705,-7.798354819690378,94.13579493041529,42.9035277393291,29.260179778985133,20.464470921771444,16.42488394036148,14.759435424738223,13.383702475562636,10.758326206887192,10.617889217879744,11.458392651716927,10.44589004088314,8.777917982365253,9.394843268074142,240.1708616780045,240.0,1,78,78,ok
track_0625206,06/625206.mp3,235.8,2296.1262204556374,874.2258556279003,2684.083827982569,554.7602975396451,23.764903864790117,6.0768098770771874e-05,5401.923375620907,0.2761190394981879,0.0176207157260913,-140.5135377230468,94.22599620087212,25.66988023780565,16.234141208794608,-1.0194921187754895,6.721515192136078,-4.188182830290679,2.6144518909797214,-2.9257283332849924,3.531728494453787,-4.194852686865941,1.852208999777772,-4.54383282730092,86.93192649711825,30.604450814098957,18.30531604561033,12.03328774925726,11.852637997723969,10.194740121873522,8.737127524015273,8.84356228261783,8.619972608797852,8.562234916044972,8.375461143881035,7.820607670999131,7.179549714440502,235.7708843537415,235.7708843537415,1,72,72,ok
track_0939255,55/939255.mp3,180.5,1506.2260561158307,1138.228313190995,1854.47822344958,931.6856749595676,22.073238956388213,0.0138464872750759,3202.3687199267997,4.082668135316736,0.0195600365949258,-250.05623517022235,97.21108957034537,26.249575231747404,36.7139875780595,14.297183176910144,5.095493015385808,1.8368639919426697,3.549645349141479,7.312511795796171,10.84553812884498,6.204642468881785,3.85567737334526,5.852147888606232,97.3457099750726,48.08318394203015,37.047226405306816,24.447604389903304,15.173081584960984,14.195808606622132,13.233599130125262,12.192499961522731,10.29199406235758,9.772419525473346,8.223150636787492,8.933947837707171,9.37418228832076,180.5,180.5,1,76,76,ok
