TRACK_ID,logmel_path
track_1147710,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/10/1147710.npy
track_1103990,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/90/1103990.npy
track_1131488,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/88/1131488.npy
track_1198188,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/88/1198188.npy
track_0245962,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/62/245962.npy
track_0719849,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/49/719849.npy
track_0736523,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/23/736523.npy
track_1129658,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/58/1129658.npy
track_1379947,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/47/1379947.npy
track_0846411,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/11/846411.npy
track_0131632,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/32/131632.npy
track_0802326,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/26/802326.npy
track_0625206,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/06/625206.npy
track_0939255,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/55/939255.npy
track_0168403,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/03/168403.npy
track_0383573,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/73/383573.npy
track_1351134,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/34/1351134.npy
track_0035173,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/73/35173.npy
track_1233768,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/68/1233768.npy
track_1023273,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/73/1023273.npy
track_0026219,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/19/26219.npy
track_0553091,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/91/553091.npy
track_1347896,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/96/1347896.npy
track_0171074,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/74/171074.npy
track_1052660,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/60/1052660.npy
track_0842757,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/57/842757.npy
track_0162045,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/45/162045.npy
track_1149234,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/34/1149234.npy
track_0711277,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/77/711277.npy
track_1132736,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/36/1132736.npy
track_0773674,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/74/773674.npy
track_0986866,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/66/986866.npy
track_1163967,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/67/1163967.npy
track_1367768,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/68/1367768.npy
track_1088383,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/83/1088383.npy
