TRACK_ID,status,audio_path,analysis_start_sec,analysis_end_sec,analysis_duration_sec,sample_rate,hop_length,extractor,total_chroma_frames,valid_chroma_frames,tuning_bins,elapsed_sec,error_type,error_message,chroma_c_mean,chroma_csharp_mean,chroma_d_mean,chroma_dsharp_mean,chroma_e_mean,chroma_f_mean,chroma_fsharp_mean,chroma_g_mean,chroma_gsharp_mean,chroma_a_mean,chroma_asharp_mean,chroma_b_mean,chroma_c_std,chroma_csharp_std,chroma_d_std,chroma_dsharp_std,chroma_e_std,chroma_f_std,chroma_fsharp_std,chroma_g_std,chroma_gsharp_std,chroma_a_std,chroma_asharp_std,chroma_b_std,tonnetz_01_mean,tonnetz_02_mean,tonnetz_03_mean,tonnetz_04_mean,tonnetz_05_mean,tonnetz_06_mean,tonnetz_01_std,tonnetz_02_std,tonnetz_03_std,tonnetz_04_std,tonnetz_05_std,tonnetz_06_std,tonal_concentration_mean,tonal_concentration_std,chroma_entropy_mean,chroma_entropy_std,chroma_flux_mean,chroma_flux_std,tonnetz_movement_mean,tonnetz_movement_std,valid_tonal_ratio
track_1147710,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/10/1147710.mp3,0.0,240.0,240.0,16000,512,librosa_chroma_cqt_first4min_v1,7501,7501,-0.19,4.5169312953948975,,,0.0471487842011516,0.0447122972533593,0.057687419944317,0.0817442958949287,0.1294876198171218,0.0855463994603612,0.0737982650762112,0.1270151542592284,0.1268152155631694,0.085506164685732,0.0580230993513599,0.0825152839119911,0.0088012143493794,0.0125847037185081,0.0215629497812542,0.0322769223310902,0.0579315169562327,0.0256266819462245,0.0258718067662886,0.0400029902087797,0.0505545219328043,0.0314398461590942,0.0104268487687759,0.0263913001689773,0.0454214026394603,-0.0230442509238771,0.0755098727080402,0.1139428352636878,0.0028898626104791,-0.0338518674795908,0.0492660899960153,0.0394307029415059,0.0494771518214542,0.063289195606197,0.0205006003536091,0.0196124878774327,0.175899765835279,0.0352300898304714,0.9510027715769184,0.0215921501642946,0.0238356339514255,0.0078234419333413,0.0327416012486322,0.0143088950556233,1.0
track_1103990,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/90/1103990.mp3,0.0,240.0,240.0,16000,512,librosa_chroma_cqt_first4min_v1,7501,7496,0.05,4.316842794418335,,,0.0813323515845043,0.0550461330681789,0.0825519861051864,0.0632169444047562,0.1657533040806005,0.0787612474686242,0.0780230072296394,0.1158947873484266,0.0729007458143093,0.0689354695200452,0.0553313271257342,0.0822526965333295,0.0839840880585987,0.0214065160666478,0.0651950573606225,0.0249676603371423,0.1423493291796748,0.0409796666543409,0.0360795033541616,0.118294732238457,0.0300927543672907,0.0436265309790713,0.0261861293800817,0.047941729084343,0.1418750331052213,0.0025967727892781,0.0586215781116018,0.10408008108669,0.0327179528687089,-0.0313691706008768,0.1498309403159425,0.1925691939461986,0.1464022561102269,0.1979848574462448,0.0780145297322587,0.0742548142755081,0.2521061241972631,0.1489033518411208,0.8984006566006447,0.12384217538772,0.033886833116847,0.0201034043074702,0.0512290173776411,0.0333196202219545,0.999333422210372
track_1131488,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/88/1131488.mp3,0.0,240.0,240.0,16000,512,librosa_chroma_cqt_first4min_v1,7501,7497,0.15,4.513640642166138,,,0.0711723151315504,0.0521784638783503,0.0975705866161641,0.1226950309126158,0.0807067706387917,0.1271948911941204,0.0819343953862104,0.0862918537328976,0.0770910343769438,0.0647223670607288,0.0918381295486294,0.046604162117232,0.0496050283245226,0.0269609361432273,0.0595185552124903,0.0757186075268168,0.0367665544527711,0.0710477303397667,0.0467035185018547,0.0532941653475055,0.0571611007295754,0.0330500952892578,0.0543835672534501,0.0257253041313786,-0.0731155606497394,0.1043800562880811,0.0114953247068761,-0.0423729913834698,-0.0162143583112706,0.0053930811916487,0.1448318184000055,0.1135070412495866,0.1353799463904142,0.1302937147455982,0.049860738114078,0.0496066467338195,0.2172733205897944,0.0692615071630956,0.9247418312298484,0.0482069517170286,0.0472418929411947,0.0242143372760508,0.0713197103570662,0.0409788037018655,0.9994667377682976
track_1198188,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/88/1198188.mp3,0.0,48.0,48.0,16000,512,librosa_chroma_cqt_first4min_v1,1501,1448,0.03,2.615936040878296,,,0.1345306454562113,0.0673821227810247,0.080553822000691,0.0907848617988149,0.0608823482443717,0.087632948750738,0.0783189561401972,0.1223570079078321,0.0863268038409746,0.0566716769283112,0.0694536020373411,0.0651052032053234,0.1221947918933207,0.0369862901663049,0.0575247930611091,0.0799351370388225,0.0186332228657002,0.0745341378948342,0.0562153001049739,0.0750067962412444,0.0770064933571852,0.025554643823364,0.0494406906147714,0.0572555971484978,-0.0303120874000298,0.1247300723055211,0.0665603247876351,0.0534134165960158,0.0001975850561079,0.0202296054257963,0.1484288291741949,0.1920186156321708,0.1573382339802892,0.1886468293950914,0.0727592745737968,0.0737622148891205,0.2661381891429507,0.1087607246761914,0.90195136669591,0.0829272551025704,0.0488522117572388,0.0274416144432627,0.0788769779090843,0.051435199628224,0.9646902065289806
track_0245962,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/62/245962.mp3,0.0,165.5350625,165.5350625,16000,512,librosa_chroma_cqt_first4min_v1,5173,5137,0.2299999999999999,3.5957190990448,,,0.0806772719725316,0.0598942403971107,0.0940009369526666,0.076766833896044,0.1012964995462989,0.0814643362972139,0.06366817762048,0.0903554279786868,0.086584955839582,0.1190930434145687,0.0777818243001515,0.0684164522876732,0.0494504453122663,0.0193896311449322,0.083921305229295,0.0216744298054796,0.0452017188572737,0.0460975887039182,0.0162774933635288,0.0344832405905432,0.020744562372171,0.0441200167183209,0.035572070032423,0.0163943058218889,0.0778195955245553,0.0466397085761231,-0.0249129058383461,0.0331077883999947,-0.000493066897444,0.0051539950980384,0.1139261621451328,0.0869956644423232,0.0805308134216752,0.1364510816143759,0.0528824377983785,0.0453210255434182,0.1873726308554648,0.0736229908989622,0.958317407895462,0.0551647128626434,0.0349600869774469,0.0127736296186443,0.0525452437039986,0.0227388569328529,0.9930407887106129
track_0719849,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/49/719849.mp3,0.0,165.117125,165.117125,16000,512,librosa_chroma_cqt_first4min_v1,5160,5039,-0.01,3.5860142707824707,,,0.116760982022334,0.0703297979334241,0.1186285236649663,0.0700141301235924,0.0746297924878235,0.0851376235934566,0.0597518695810209,0.0986538761017959,0.0646015208849018,0.0950133096481063,0.0782760257713864,0.0682025486081254,0.0632083125165337,0.0285553000288741,0.0795099677412648,0.0407795165326324,0.0408801572463448,0.0562659950090085,0.0233328961399637,0.0713313926599864,0.0282058229828265,0.0624406826452276,0.0509101396617477,0.0350541647789718,0.0743247073516816,0.1250413068460461,-0.0136101762550689,-0.0006641236867256,-0.0063569402097273,0.006155218347484,0.1423187041568194,0.1133357305447446,0.1317918460377852,0.1329141230535776,0.0527924674338701,0.0519315107687369,0.2192965323553835,0.0683102341355761,0.9316273920827972,0.0466405928818703,0.0473012454486957,0.02685066317268,0.0724699821967253,0.0451910442115518,0.9765503875968992
track_0736523,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/23/736523.mp3,0.0,214.1326875,214.1326875,16000,512,librosa_chroma_cqt_first4min_v1,6692,6692,0.07,4.153299331665039,,,0.0537504579542617,0.0997742845671829,0.0605471659749824,0.0576790796770411,0.0807815672437567,0.0493741040280171,0.139210898633317,0.0523547934411673,0.0854470088270905,0.0902280137225377,0.090518033099948,0.1403345924772064,0.0222468737102429,0.0835323094692477,0.0496149329241426,0.0400657511912849,0.0758682085146524,0.0197042047499819,0.0883555184986713,0.0244497123628367,0.0706470746874151,0.0729220644746267,0.053733942438514,0.0871514918540563,0.0243235093934681,-0.212882706819687,0.0109920631004441,-0.0702970637709201,-0.0053148814700254,0.005651337678743,0.1098707951576997,0.139151887871542,0.2212514582757221,0.2249830628363499,0.0734617639028924,0.0866696129802297,0.2335656939226927,0.0943663171184365,0.890784753576696,0.1036082754309627,0.04261215202887,0.0343284488012678,0.0644664841425505,0.0518681045072836,1.0
track_1129658,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/58/1129658.mp3,0.0,224.875,224.875,16000,512,librosa_chroma_cqt_first4min_v1,7028,7028,0.2099999999999999,4.27349066734314,,,0.0453220488335677,0.1010456042735682,0.0431450607048906,0.0522433894177009,0.1429776095479883,0.055712335817484,0.0779727564014279,0.037766085598345,0.056438515315815,0.2378171562900561,0.0556142607862294,0.0939451770350235,0.0298870440536597,0.0850001056270432,0.0237419346270066,0.038128469698291,0.1142695360005904,0.0321453215062607,0.0778624049410182,0.0216828615505576,0.0301171777116089,0.2009699752696487,0.0409999903940788,0.0948030797427673,0.2371968382156237,-0.1708913916597436,-0.2106204444407234,0.068006095797567,0.0381754698385919,0.0600165132574703,0.2177801784739466,0.1100597404710471,0.2932065718954953,0.1725707286507476,0.0658907095739518,0.109236963621844,0.3518709251694232,0.1430710172948052,0.8177686341416449,0.1264455690125013,0.0475933890156826,0.0299064327103588,0.0760070567870428,0.0510976534451033,1.0
track_1379947,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/47/1379947.mp3,0.0,240.0,240.0,16000,512,librosa_chroma_cqt_first4min_v1,7501,7501,-0.0299999999999999,4.485159873962402,,,0.0611866187649919,0.0459947485072964,0.060068516883641,0.0579585353437244,0.103760557147129,0.0711477874009537,0.0988350352695776,0.1402825105030458,0.1140537875133456,0.1045528056581502,0.0693143027318213,0.0728447939914999,0.0184257090263781,0.0134125405538565,0.0341127325670674,0.0188658478780023,0.057901734033501,0.0140187859832356,0.0232742617990159,0.0392778398209097,0.0257430255769101,0.0503248898756056,0.0224238326975687,0.0340331523120558,0.0776653702875708,-0.0016782325679593,0.0493904981680715,0.0507831083795149,0.017856245766029,-0.0081002536039699,0.0660802724985921,0.0576722742269291,0.0828289581978254,0.075123418452335,0.0246055314521704,0.0378138609060813,0.1778049637116427,0.0455878445429533,0.9549287919711468,0.0301059610241442,0.0242882666148866,0.0130673515489689,0.032945342609618,0.0219595620779752,1.0
track_0846411,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/11/846411.mp3,0.0,221.9281875,221.9281875,16000,512,librosa_chroma_cqt_first4min_v1,6936,6726,0.03,4.329708099365234,,,0.1099649121095333,0.070408694249742,0.096364933643058,0.054615782429399,0.1548841545339468,0.0393620062886133,0.0519553443239439,0.092864825156964,0.0510357433575289,0.1128004877006958,0.0537401120950488,0.1120030047087297,0.0736478820988881,0.0303889595894651,0.0695617538737073,0.0248964816265691,0.0869909131728646,0.0209799980379038,0.0238477754478648,0.057879478510565,0.0251219413134705,0.0948353996867231,0.0255348443153063,0.059720394671669,0.2325828101681982,-0.0133592282021536,0.0369124241003502,0.1138244199514197,0.0316671273596669,-0.0029976051674275,0.1190325033577017,0.1353096738920004,0.1660181174013018,0.1407088785026881,0.0540049396675487,0.0728697789755845,0.2463194512001396,0.067193835914351,0.9021030053509652,0.0482813127550949,0.0334316366557101,0.0160453369653915,0.0514690855745238,0.027796805504071,0.9697231833910036
