TRACK_ID,split,source,schema_version,status,audio_path,analysis_start_sec,analysis_end_sec,analysis_duration_sec,decoded_duration_sec,input_scope,sample_rate,rhythm_method,beat_tracker_confidence,detected_onsets_count,detected_beats_count,elapsed_sec,error_type,error_message,bpm,beats_count,beats_loudness_mean,bpm_histogram_first_peak_bpm,bpm_histogram_first_peak_spread,bpm_histogram_first_peak_weight,onset_rate,danceability,beat_interval_mean,beat_interval_std
track_1147710,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/10/1147710.mp3,0.0,240.0,240.0,243.84,first_4min,44100,multifeature,2.695268154144287,1869,498,5.797975540161133,,,125.0124969482422,498.0,0.1948511633899504,126.0,0.4204081892967224,0.5714285969734192,7.787499904632568,1.791045904159546,0.4807277932253402,0.0086503212204071
track_1103990,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/90/1103990.mp3,0.0,240.0,240.0,323.0,first_4min,44100,multifeature,0.5808316469192505,610,464,6.032064437866211,,,119.9534683227539,464.0,0.1717337735087845,120.0,0.1912568211555481,0.6393088698387146,2.5416667461395264,0.9883952140808104,0.5159042555492847,0.0417589688334199
track_1131488,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/88/1131488.mp3,0.0,240.0,240.0,447.5878458049887,first_4min,44100,multifeature,0.664368748664856,1217,531,6.419295787811279,,,136.1248779296875,531.0,0.0228477020948781,136.0,0.4413646459579468,0.4943396151065826,5.070833206176758,1.1585086584091189,0.450883312382788,0.037463795681434
track_1198188,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/88/1198188.mp3,0.0,48.0,48.0,48.0,entire_track,44100,multifeature,3.1652393341064453,132,63,1.2917544841766355,,,80.01055908203125,63.0,0.4369198211601802,80.0,0.0645161271095275,0.9354838728904724,2.75,1.1802780628204346,0.7499670472837263,0.0070587838916505
track_245962,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/62/245962.mp3,0.0,165.5350566893424,165.5350566893424,165.5350566893424,entire_track,44100,multifeature,3.116930723190308,1065,381,4.006960868835449,,,138.05308532714844,381.0,0.7471070820470244,140.0,0.469613254070282,0.5052631497383118,6.433682918548584,1.4891678094863892,0.4332048963559301,0.0107491936685081
track_719849,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/49/719849.mp3,0.0,165.11707482993197,165.11707482993197,165.11707482993197,entire_track,44100,multifeature,2.807553291320801,1078,332,3.9740633964538574,,,119.9962158203125,332.0,0.1947114600151818,120.0,0.1217949390411377,0.8277945518493652,6.528700828552246,1.2164829969406128,0.4961073214914143,0.0251322198452311
track_736523,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/23/736523.mp3,0.0,214.13267573696143,214.13267573696143,214.13267573696143,entire_track,44100,multifeature,1.4862301349639893,700,527,5.232808589935303,,,147.17320251464844,527.0,0.2161226548498365,148.0,0.3983228802680969,0.5456273555755615,3.269001245498657,1.0276777744293213,0.4054442322866092,0.0100964948170966
track_1129658,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/58/1129658.mp3,0.0,224.8749886621316,224.8749886621316,224.8749886621316,entire_track,44100,multifeature,1.9913374185562127,681,405,5.467944145202637,,,109.2225112915039,405.0,0.1665185258452159,110.0,0.5654951930046082,0.3366336524486542,3.0283493995666504,1.0864193439483645,0.5534280616753172,0.0180967984515938
track_1379947,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/47/1379947.mp3,0.0,240.0,240.0,319.8432653061225,first_4min,44100,multifeature,3.713181972503662,1234,359,5.956069946289063,,,90.01403045654297,359.0,0.3190401426301154,91.0,0.4608938694000244,0.5391061305999756,5.141666889190674,1.671081781387329,0.6666332155299586,0.0068644231281653
track_846411,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/11/846411.mp3,0.0,221.9281859410431,221.9281859410431,221.9281859410431,entire_track,44100,multifeature,2.626798629760742,700,438,5.361055612564087,,,119.9919662475586,438.0,0.0581343095877697,120.0,0.0952380895614624,0.8695651888847351,3.1541733741760254,1.1671961545944214,0.5056317640933073,0.0318271674556814
track_131632,,essentia_direct_first4min,essentia_rhythm_first4min_v1,ok,/workspace/MTG_Jamendo_7324_full_quality/audio/32/131632.mp3,0.0,237.77233560090704,237.77233560090704,237.77233560090704,entire_track,44100,multifeature,3.5719947814941406,1019,413,5.914264917373657,,,104.95841979980467,413.0,0.0943116621446858,105.0,0.2549999952316284,0.7233009934425354,4.285612106323242,1.0011273622512815,0.5735948554520468,0.013307817272519
