TRACK_ID,ARTIST_ID,ALBUM_ID,PATH,DURATION,genres,instruments,target_genres
track_1147710,artist_002986,album_137620,10/1147710.mp3,243.9,"[""chillout"", ""dance"", ""electronic"", ""techno""]","[""synthesizer""]","[""electronic""]"
track_1103990,artist_441915,album_131771,90/1103990.mp3,323.0,"[""alternative"", ""instrumentalrock"", ""postrock"", ""progressive"", ""rock""]","[""bass"", ""drums"", ""electricguitar"", ""synthesizer""]","[""rock""]"
track_1131488,artist_337503,album_135655,88/1131488.mp3,447.6,"[""funk"", ""jazz""]","[""doublebass"", ""drums"", ""piano"", ""saxophone""]","[""jazz""]"
track_1198188,artist_455057,album_144137,88/1198188.mp3,48.0,"[""80s"", ""electronic"", ""soundtrack""]","[""computer""]","[""electronic""]"
track_0245962,artist_338876,album_035653,62/245962.mp3,165.6,"[""folk"", ""pop"", ""poprock"", ""reggae"", ""rock"", ""ska""]","[""drums"", ""guitar""]","[""rock"", ""folk""]"
track_0719849,artist_366162,album_083985,49/719849.mp3,165.1,"[""easylistening"", ""improvisation"", ""jazz""]","[""electricguitar"", ""electricpiano""]","[""jazz""]"
track_0736523,artist_348602,album_086057,23/736523.mp3,214.2,"[""electronic"", ""hiphop"", ""instrumentalpop"", ""orchestral""]","[""brass""]","[""electronic"", ""hiphop""]"
track_1129658,artist_444240,album_135368,58/1129658.mp3,224.9,"[""improvisation"", ""psychedelic"", ""rock""]","[""bass"", ""drums"", ""guitar"", ""voice""]","[""rock""]"
track_1379947,artist_459669,album_162091,47/1379947.mp3,319.9,"[""funk"", ""rnb"", ""rock""]","[""bass"", ""drums"", ""guitar"", ""keyboard""]","[""rock""]"
track_0846411,artist_364878,album_098940,11/846411.mp3,222.0,"[""jazz"", ""swing""]","[""doublebass"", ""drums"", ""piano"", ""saxophone"", ""trumpet""]","[""jazz""]"
track_0131632,artist_338036,album_018552,32/131632.mp3,237.8,"[""blues"", ""instrumentalpop"", ""pop"", ""rock""]","[""guitar""]","[""rock""]"
track_0802326,artist_359034,album_093908,26/802326.mp3,240.2,"[""hiphop"", ""rap""]","[""bass"", ""beat"", ""computer"", ""drummachine"", ""drums"", ""keyboard"", ""piano""]","[""hiphop""]"
track_0625206,artist_356759,album_072408,06/625206.mp3,235.8,"[""funk"", ""jazz"", ""jazzfunk""]","[""bass"", ""drums"", ""piano""]","[""jazz""]"
track_0939255,artist_359034,album_110292,55/939255.mp3,180.5,"[""chillout"", ""easylistening"", ""hiphop"", ""jazz"", ""triphop""]","[""bass"", ""cello"", ""computer"", ""drums"", ""piano"", ""synthesizer"", ""trumpet""]","[""jazz"", ""hiphop""]"
track_0168403,artist_339610,album_024793,03/168403.mp3,193.9,"[""alternative"", ""hard"", ""poprock"", ""rock""]","[""guitar""]","[""rock""]"
track_0383573,artist_341278,album_048589,73/383573.mp3,135.7,"[""hiphop"", ""rap""]","[""beat"", ""drummachine"", ""piano"", ""sampler""]","[""hiphop""]"
track_1351134,artist_341983,album_152087,34/1351134.mp3,206.0,"[""country"", ""folk"", ""rock""]","[""bass"", ""drums""]","[""rock"", ""folk""]"
track_0035173,artist_002208,album_004282,73/35173.mp3,208.8,"[""electronic"", ""newwave"", ""triphop""]","[""bass"", ""drums"", ""synthesizer""]","[""electronic""]"
track_1233768,artist_004729,album_147943,68/1233768.mp3,236.7,"[""ethno"", ""folk"", ""world""]","[""acousticguitar"", ""doublebass""]","[""folk""]"
track_1023273,artist_432273,album_120319,73/1023273.mp3,158.0,"[""classical"", ""orchestral"", ""soundtrack""]","[""cello"", ""clarinet"", ""viola"", ""violin""]","[""classical""]"
track_0026219,artist_003901,album_003591,19/26219.mp3,42.4,"[""blues"", ""electronic"", ""improvisation"", ""jazz""]","[""guitar""]","[""electronic"", ""jazz""]"
track_0553091,artist_354992,album_064387,91/553091.mp3,380.2,"[""hiphop"", ""rnb""]","[""computer"", ""piano""]","[""hiphop""]"
track_1347896,artist_490314,album_159033,96/1347896.mp3,92.1,"[""classical""]","[""piano""]","[""classical""]"
track_0171074,artist_339719,album_025173,74/171074.mp3,149.9,"[""folk"", ""indie"", ""pop""]","[""electricguitar""]","[""folk""]"
track_1052660,artist_344764,album_123984,60/1052660.mp3,285.9,"[""poprock"", ""rock""]","[""bass"", ""drums"", ""electricguitar"", ""trumpet""]","[""rock""]"
track_0842757,artist_337058,album_098478,57/842757.mp3,248.7,"[""classical""]","[""cello"", ""strings"", ""viola"", ""violin""]","[""classical""]"
track_0162045,artist_007872,album_023755,45/162045.mp3,207.8,"[""folk"", ""pop"", ""rock""]","[""bass"", ""drums"", ""guitar""]","[""rock"", ""folk""]"
track_1149234,artist_357317,album_137806,34/1149234.mp3,84.0,"[""dance"", ""electronic""]","[""drummachine"", ""sampler"", ""synthesizer""]","[""electronic""]"
track_0711277,artist_359034,album_083048,77/711277.mp3,151.0,"[""funk"", ""hiphop"", ""jazz""]","[""bass"", ""bell"", ""bongo"", ""brass"", ""cello"", ""clarinet"", ""classicalguitar"", ""computer"", ""drummachine"", ""drums"", ""electricguitar"", ""electricpiano"", ""flute"", ""guitar"", ""harp"", ""horn"", ""keyboard"", ""piano"", ""rhodes"", ""saxophone"", ""strings"", ""trombone"", ""trumpet"", ""violin""]","[""jazz"", ""hiphop""]"
